province,U_R,COICOP,Products,Weight,Date,CPI,Source
0,0,1,Food and non-alcoholic beerages,3903.542834,8/1/2011,81.10166345,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,9/1/2011,82.27421536,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,10/1/2011,83.29040855,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,11/1/2011,84.32134061,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,12/1/2011,83.44698607,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,1/1/2012,81.77637242,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,2/1/2012,84.26569608,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,3/1/2012,89.59319558,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,4/1/2012,91.78191088,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,5/1/2012,93.74194691,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,6/1/2012,92.97501256,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,7/1/2012,94.025721,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,8/1/2012,95.92125445,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,9/1/2012,97.7288543,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,10/1/2012,99.76402866,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,11/1/2012,98.34646471,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,12/1/2012,95.42476275,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,1/1/2013,94.13628983,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,2/1/2013,94.05484962,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,3/1/2013,95.9861129,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,4/1/2013,98.69704114,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,5/1/2013,99.04120006,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,6/1/2013,98.49149801,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,7/1/2013,99.60746699,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,8/1/2013,101.0886161,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,9/1/2013,108.0108393,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,10/1/2013,110.3218279,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,11/1/2013,109.1119737,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,12/1/2013,101.9862176,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,1/1/2014,98.11598836,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,2/1/2014,100,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,3/1/2014,104.9493649,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,4/1/2014,105.067566,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,5/1/2014,105.6996558,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,6/1/2014,105.5834625,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,7/1/2014,104.7254902,rwanda
